,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
125,Mitchell Robinson,2020-21,22,NYK,NBA,3.4,31,29,853,17.7,0,0.301,14.5,17.5,16,2.9,2.1,5,11.5,11.8,131,104,1.8,1.7,0.192,-0.3,1.1,0.9,0.6,5.1,7.7,5.1,7.7,0,0,1.1,2.3,5,6.1,11.1,0.7,1.5,2,1.1,3.8,11.3,0.653,0.653,,0.653,0.491,0.642
126,Saddiq Bey,2020-21,21,DET,NBA,3.3,70,53,1909,12.6,0.666,0.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,112,114,1.6,1.7,0.082,0.3,-1.1,-0.8,0.6,5.4,13.3,2,4.5,3.4,8.9,2.4,2.8,0.8,5.3,6.1,1.8,1,0.3,1.2,2.1,16.5,0.404,0.45,0.38,0.53,0.844,0.567
127,Alec Burks,2020-21,29,NYK,NBA,3.3,49,5,1255,14.8,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,114,109,1.5,1.8,0.126,0.6,0.3,0.9,0.9,6.3,15,3.2,7.6,3,7.4,3,3.5,0.6,6.2,6.8,3.2,0.9,0.4,1.5,3,18.6,0.42,0.425,0.415,0.522,0.856,0.564
128,Jae Crowder,2020-21,30,PHO,NBA,3.3,60,42,1648,11.8,0.772,0.152,2.2,16.9,9.7,10,1.4,1.5,9.5,15.7,113,111,1.4,1.9,0.097,0.1,0.7,0.8,1.2,4.5,11.1,1.1,2.5,3.3,8.5,1.3,1.7,0.7,5.6,6.3,2.9,1.1,0.6,1.2,2.8,13.5,0.404,0.455,0.389,0.555,0.76,0.574
129,Keldon Johnson,2020-21,21,SAS,NBA,3.3,69,67,1968,13.8,0.257,0.278,4.9,17.6,11.1,8.9,1,1,9,19.2,111,114,1.6,1.7,0.079,-0.8,-1.1,-1.9,0,6.3,13,5.1,9.7,1.1,3.3,2.7,3.6,1.7,5.9,7.6,2.2,0.7,0.4,1.4,2.6,16.3,0.479,0.531,0.331,0.522,0.74,0.557
130,Kyle Kuzma,2020-21,25,LAL,NBA,3.3,68,32,1954,12.7,0.502,0.128,6.3,17.7,12,9.8,0.9,1.9,12.4,20.3,105,109,0.4,2.9,0.08,-0.3,-0.4,-0.7,0.6,6.3,14.1,3.7,7,2.6,7.1,1.3,1.8,2,5.8,7.8,2.4,0.7,0.8,2.1,2.3,16.3,0.443,0.525,0.361,0.533,0.691,0.546
131,Dejounte Murray,2020-21,24,SAS,NBA,3.3,67,67,2139,16.5,0.204,0.138,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,106,111,0.7,2.6,0.074,-0.2,0.8,0.6,1.4,7.5,16.6,6.4,13.2,1.1,3.4,1.8,2.3,1,7.1,8,6.2,1.7,0.1,2,2.3,17.9,0.453,0.488,0.317,0.485,0.791,0.509
132,Marcus Smart,2020-21,26,BOS,NBA,3.3,48,45,1581,13.8,0.553,0.318,2.5,9.3,5.9,23.6,2.2,1.4,14.2,18.4,114,113,1.8,1.5,0.1,-0.4,-0.2,-0.6,0.6,4.7,11.8,2.5,5.3,2.2,6.5,3,3.8,0.8,3,3.9,6.3,1.7,0.5,2.2,2.9,14.5,0.398,0.482,0.33,0.489,0.79,0.539
133,Myles Turner,2020-21,24,IND,NBA,3.3,47,47,1455,15.3,0.477,0.329,4.7,18,11.4,4.4,1.3,8.8,11.9,16.4,112,108,1.1,2.2,0.11,-1.3,1.7,0.4,0.9,5,10.5,3.3,5.5,1.7,5,2.7,3.5,1.5,5.9,7.5,1.2,1,3.9,1.6,4,14.4,0.477,0.606,0.335,0.557,0.782,0.599
134,Kemba Walker,2020-21,30,BOS,NBA,3.3,43,43,1369,17.7,0.522,0.22,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,114,114,2.1,1.1,0.115,2.5,-0.7,1.8,1.3,7.6,18.1,4.2,8.6,3.4,9.4,3.6,4,0.4,4.1,4.5,5.7,1.3,0.3,2.4,1.6,22.2,0.42,0.486,0.36,0.514,0.899,0.559
135,Cody Zeller,2020-21,28,CHO,NBA,3.3,48,21,1005,18.2,0.086,0.367,12.6,22.9,17.7,13.2,1.3,1.7,11.9,18.3,123,112,2.1,1.1,0.156,-0.2,-0.1,-0.3,0.4,6.6,11.8,6.5,10.8,0.1,1,3.1,4.3,4.3,7.6,12,3.1,1,0.6,1.9,4.4,16.4,0.559,0.598,0.143,0.565,0.714,0.599
136,Lonzo Ball,2020-21,23,NOP,NBA,3.2,55,55,1747,15.2,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,110,113,1.5,1.7,0.089,1.4,0.2,1.6,1.6,6,14.4,2.4,5,3.5,9.4,1,1.3,0.7,4.7,5.4,6.5,1.7,0.6,2.5,2.1,16.5,0.414,0.482,0.378,0.537,0.781,0.551
137,Jerami Grant,2020-21,26,DET,NBA,3.2,54,54,1829,16.9,0.353,0.368,2.1,13.2,7.6,14.3,0.9,2.8,9.1,28.5,109,114,1.6,1.6,0.083,2,-1.2,0.9,1.3,8,18.7,5.7,12.1,2.3,6.6,5.8,6.9,0.7,4.3,5,3.1,0.7,1.2,2.2,2.5,24.2,0.429,0.473,0.35,0.491,0.845,0.556
138,Paul Millsap,2020-21,35,DEN,NBA,3.2,56,36,1162,16.4,0.357,0.244,7.4,18.1,12.8,11.6,2.2,3,10.3,18.6,117,110,1.7,1.6,0.133,0.4,0.1,0.5,0.7,6.1,12.8,4.5,8.2,1.6,4.6,2.3,3.1,2.4,5.9,8.4,3.1,1.6,1.1,1.6,3.5,16,0.476,0.55,0.343,0.537,0.724,0.565
139,Ja Morant,2020-21,21,MEM,NBA,3.2,63,63,2053,16.7,0.252,0.389,3,10.1,6.5,33.5,1.3,0.6,15.3,27.2,108,115,1.6,1.6,0.074,1.3,-2,-0.8,0.6,7.5,16.7,6.2,12.5,1.3,4.2,4.7,6.5,1,3.4,4.4,8.1,1,0.2,3.5,1.5,21,0.449,0.499,0.303,0.487,0.728,0.537
140,Immanuel Quickley,2020-21,21,NYK,NBA,3.2,64,3,1243,15.8,0.522,0.3,2.2,9.7,6,16.2,1.2,0.9,8.1,25.6,113,111,1.8,1.4,0.125,1.5,-0.9,0.6,0.8,6.9,17.5,3.4,8.4,3.6,9.1,4.7,5.3,0.8,3.4,4.1,3.8,0.9,0.4,1.8,3.4,22.1,0.395,0.401,0.389,0.497,0.891,0.557
141,Naz Reid,2020-21,21,MIN,NBA,3.2,70,15,1347,18.2,0.299,0.286,6.4,20,12.9,8.7,1.2,4.9,9.5,22.5,115,113,1.9,1.3,0.113,-0.2,-0.5,-0.6,0.5,8,15.3,6.4,10.7,1.6,4.6,3,4.4,2.2,6.3,8.5,1.9,0.9,2,1.8,4.7,20.6,0.523,0.597,0.351,0.576,0.693,0.599
142,OG Anunoby,2020-21,23,TOR,NBA,3.1,43,43,1433,15.4,0.503,0.197,4,14.6,9.1,10.1,2.2,2.2,11.7,19.3,113,112,1.5,1.6,0.104,0.6,0.3,1,1.1,6.3,13.1,3.7,6.5,2.6,6.6,2,2.6,1.4,4.6,6,2.4,1.7,0.8,1.9,2.9,17.3,0.48,0.562,0.398,0.58,0.784,0.605
143,Dāvis Bertāns,2020-21,28,WAS,NBA,3.1,57,7,1464,11.4,0.895,0.241,1.3,10.8,6.1,4.4,1,0.7,5.9,15.9,120,116,2.1,1,0.101,0.4,-1.4,-1,0.4,4.6,11.3,0.6,1.2,4,10.1,2.4,2.7,0.4,3.5,4,1.2,0.8,0.3,0.8,3.2,15.5,0.404,0.48,0.395,0.581,0.87,0.62
144,Facundo Campazzo,2020-21,29,DEN,NBA,3.1,65,19,1425,11.6,0.686,0.289,1.8,8.9,5.3,20.2,2.7,1,17.1,13.1,117,112,1.6,1.5,0.105,-1.7,1,-0.8,0.5,3.1,8.2,1.1,2.6,2,5.6,2.1,2.4,0.6,2.9,3.5,6,2.1,0.4,1.9,3.4,10.3,0.381,0.444,0.352,0.502,0.879,0.558
145,Justin Holiday,2020-21,31,IND,NBA,3.1,72,52,2183,10.4,0.725,0.136,1.6,11.1,6.4,7,1.6,1.5,7.5,14,112,114,1.4,1.8,0.069,-0.7,-0.4,-1.1,0.5,4.2,10.1,1.4,2.8,2.8,7.4,1.1,1.4,0.5,3.6,4.2,1.9,1.2,0.7,0.9,2.2,12.3,0.413,0.494,0.382,0.551,0.788,0.571
146,Derrick Rose,2020-21,32,TOT,NBA,3.1,50,3,1279,18.3,0.211,0.208,1.7,9.3,5.5,28,1.9,1.4,10.5,25.8,112,111,1.6,1.6,0.118,1.4,0.1,1.5,1.1,8.4,17.8,6.9,14.1,1.5,3.8,3.2,3.7,0.6,3.2,3.8,6.1,1.4,0.6,2.3,1.6,21.4,0.47,0.492,0.388,0.511,0.866,0.55
147,Ricky Rubio,2020-21,30,MIN,NBA,3.1,68,51,1772,13.5,0.43,0.301,1.6,12.4,6.8,33.3,2.6,0.2,16.4,16,113,115,1.9,1.3,0.085,-2.1,-0.1,-2.2,-0.1,3.9,10,2.5,5.7,1.3,4.3,2.6,3,0.6,3.9,4.5,8.7,2,0.1,2.2,2.8,11.6,0.388,0.447,0.308,0.454,0.867,0.516
148,Tomáš Satoranský,2020-21,29,CHI,NBA,3.1,58,18,1307,13.8,0.359,0.24,2.6,9.4,6,27.9,1.5,0.9,20.9,15.2,118,114,1.9,1.1,0.113,-0.5,-0.2,-0.7,0.4,4.7,9.2,3.5,5.9,1.2,3.3,1.9,2.2,0.8,3.1,4,7.5,1.1,0.4,2.7,2.5,12.4,0.514,0.602,0.356,0.578,0.848,0.614
149,Jarred Vanderbilt,2020-21,21,MIN,NBA,3.1,64,30,1139,16.2,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,122,110,1.6,1.5,0.132,-1.6,1,-0.6,0.4,4.4,7.3,4.4,7.2,0,0.2,1.8,3.2,3.7,7.8,11.4,2.4,2,1.4,1.6,3.8,10.7,0.606,0.615,0.2,0.608,0.559,0.612
150,Serge Ibaka,2020-21,31,LAC,NBA,3,41,39,955,18.2,0.315,0.145,8.9,23.1,16.2,11.5,0.5,4.4,10.2,20.1,119,110,1.7,1.3,0.15,1.3,-0.5,0.8,0.7,7.2,14.2,5.7,9.7,1.5,4.5,1.7,2.1,2.8,7.9,10.7,2.9,0.3,1.8,1.7,3,17.7,0.51,0.588,0.339,0.563,0.811,0.585
151,Lauri Markkanen,2020-21,23,CHI,NBA,3,51,26,1317,15.2,0.568,0.177,3,19.4,11.3,5,1,1,8.5,20.2,115,113,1.7,1.3,0.109,1.3,-1.3,0,0.7,6.9,14.4,3.6,6.2,3.3,8.2,2.1,2.5,1,6.4,7.4,1.2,0.7,0.4,1.4,2.1,19.2,0.48,0.582,0.402,0.594,0.826,0.619
152,Juan Toscano-Anderson,2020-21,27,GSW,NBA,3,53,16,1107,12.6,0.44,0.148,2.8,19.5,11.3,18.1,1.7,2.1,21.5,11,121,109,1.4,1.6,0.13,-1.5,2.2,0.6,0.7,3.9,6.7,2.7,3.7,1.2,2.9,0.7,1,0.9,6.5,7.4,4.8,1.3,0.8,1.9,3.5,9.6,0.579,0.718,0.402,0.667,0.71,0.676
153,Desmond Bane,2020-21,22,MEM,NBA,2.9,68,17,1519,12.2,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,115,114,1.6,1.3,0.093,-0.7,-0.3,-1,0.4,5.5,11.8,2.8,5.4,2.8,6.4,0.9,1.2,0.7,4.2,5,2.8,1,0.4,1.4,3,14.8,0.469,0.513,0.432,0.586,0.816,0.6
154,Willy Hernangómez,2020-21,26,NOP,NBA,2.9,47,12,846,19.6,0.037,0.347,15,27.8,21.4,8.5,1.2,2.6,9.9,17,125,111,1.9,1,0.163,1.1,-1.1,-0.1,0.4,6.4,11.4,6.4,11,0,0.4,2.6,4,5,9.2,14.2,2.1,0.9,1,1.4,2.9,15.5,0.563,0.581,0.1,0.565,0.667,0.591
155,Maxi Kleber,2020-21,29,DAL,NBA,2.9,50,40,1341,10.6,0.771,0.135,3.9,17.4,10.7,6.6,0.9,2.4,9.3,10.6,123,113,1.6,1.3,0.103,-0.6,0,-0.7,0.5,3.2,7.6,0.8,1.7,2.4,5.8,0.9,1,1.3,5.9,7.2,1.9,0.7,1,0.8,2.9,9.7,0.422,0.46,0.41,0.58,0.919,0.606
156,Monte Morris,2020-21,25,DEN,NBA,2.9,47,13,1196,14,0.346,0.189,1,8,4.6,17.1,1.4,1.1,7.5,16.5,121,115,2,0.8,0.115,0.2,-1.1,-0.8,0.4,5.8,12,4.2,7.8,1.6,4.2,1.8,2.3,0.3,2.6,3,4.6,1.1,0.4,1.1,1.5,14.9,0.481,0.534,0.381,0.547,0.795,0.574
157,Kendrick Nunn,2020-21,25,MIA,NBA,2.9,56,44,1650,14.2,0.486,0.091,1.5,10.8,6.2,14.5,1.6,0.9,10.5,20.9,111,113,1.4,1.5,0.084,-0.4,-0.3,-0.6,0.6,7.2,14.9,4.4,7.6,2.8,7.2,1.3,1.4,0.5,3.6,4,3.3,1.2,0.3,1.8,2.4,18.4,0.485,0.583,0.381,0.578,0.933,0.596
158,Tristan Thompson,2020-21,29,BOS,NBA,2.9,54,43,1287,14.2,0.009,0.368,14.5,23.5,19,7.2,0.9,2.4,14.1,14.8,116,112,1.5,1.4,0.107,-1.4,-1.2,-2.6,-0.2,4.8,9.3,4.8,9.2,0,0.1,2,3.4,4.8,7.7,12.5,1.9,0.7,0.9,1.8,3.4,11.6,0.518,0.523,0,0.518,0.592,0.54
159,Xavier Tillman,2020-21,22,MEM,NBA,2.9,59,12,1085,14.7,0.217,0.177,7.2,18,12.5,9.4,1.9,2.7,12.3,14.3,119,110,1.4,1.5,0.127,-1.3,0.9,-0.4,0.4,5.5,9.9,4.8,7.7,0.7,2.1,1.1,1.8,2.4,6,8.5,2.5,1.5,1.1,1.5,3.8,12.9,0.559,0.62,0.338,0.595,0.642,0.605
160,LaMelo Ball,2020-21,19,CHO,NBA,2.8,51,31,1469,17.5,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,108,110,1,1.9,0.093,1.2,0.6,1.9,1.4,7.3,16.8,5,10.2,2.3,6.5,3.1,4.1,1.6,6,7.5,7.8,2,0.4,3.6,3.4,20,0.436,0.489,0.352,0.504,0.758,0.539
161,Willie Cauley-Stein,2020-21,27,DAL,NBA,2.8,53,16,906,14.3,0.06,0.429,8.1,20.5,14.3,5.3,1.1,4.4,11.8,12,128,110,1.6,1.2,0.147,-2.2,0.6,-1.6,0.1,4.7,7.4,4.7,7,0,0.4,2,3.2,2.7,6.9,9.6,1.4,0.9,1.8,1.2,5.3,11.4,0.632,0.667,0.091,0.635,0.628,0.647
162,Evan Fournier,2020-21,28,TOT,NBA,2.8,42,36,1259,16.7,0.523,0.253,0.8,10.2,5.4,18.6,1.8,1.4,10.8,23.1,115,115,1.8,1,0.107,1.2,-0.2,1,1,7.2,15.7,3.8,7.5,3.4,8.2,3.1,4,0.3,3.4,3.7,4.2,1.4,0.6,2.1,2.8,20.9,0.457,0.504,0.413,0.565,0.788,0.598
163,Marc Gasol,2020-21,36,LAL,NBA,2.8,52,42,993,12.2,0.629,0.258,4.3,19.9,12.2,14.7,1.3,5.2,19.7,11.8,115,105,0.8,1.9,0.133,-1.2,3.3,2.1,1,3.2,7.1,1.4,2.6,1.8,4.5,1.3,1.8,1.4,6.5,7.9,4,1,2.1,1.9,4.2,9.6,0.454,0.528,0.41,0.582,0.72,0.606
164,Tyus Jones,2020-21,24,MEM,NBA,2.8,70,9,1222,15,0.339,0.109,1.8,10.4,6.1,28.6,2.5,0.4,10,16.6,115,112,1.5,1.3,0.11,-0.2,0.6,0.4,0.8,5.2,12.1,3.9,8,1.3,4.1,1.2,1.3,0.6,3.5,4.1,7.6,1.9,0.2,1.4,0.9,13,0.431,0.487,0.321,0.485,0.911,0.511
165,Shake Milton,2020-21,24,PHI,NBA,2.8,63,4,1461,14.6,0.304,0.264,2.5,8.5,5.6,20.3,1.3,1.1,12.2,24.9,109,112,1.1,1.6,0.091,-0.9,-1.2,-2.1,0,7.4,16.5,5.7,11.5,1.8,5,3.6,4.4,0.8,2.8,3.7,4.8,1,0.4,2.5,3.2,20.2,0.45,0.494,0.35,0.503,0.83,0.549
166,Raul Neto,2020-21,28,WAS,NBA,2.8,64,22,1403,13,0.367,0.19,2.1,9.6,5.9,14,2.4,0.4,9.9,15.8,115,113,1.5,1.3,0.097,-1.5,0.6,-0.8,0.4,5.2,11,3.6,7,1.6,4,1.8,2.1,0.7,3.2,3.8,3.6,1.8,0.1,1.3,2.7,13.7,0.468,0.512,0.39,0.539,0.882,0.575
167,Matisse Thybulle,2020-21,23,PHI,NBA,2.8,65,8,1298,10.1,0.588,0.074,2.6,7.8,5.3,6.3,3.9,4.9,11.3,9.4,104,103,0.1,2.7,0.102,-2.7,4.3,1.6,1.2,2.8,6.8,1.6,2.8,1.2,4,0.2,0.5,0.8,2.6,3.5,1.8,2.9,2,0.9,3.5,7.1,0.42,0.59,0.301,0.508,0.444,0.508
168,Kenrich Williams,2020-21,26,OKC,NBA,2.8,66,13,1426,14,0.285,0.153,6.1,14,10,16.4,1.8,1.1,14.8,15.3,116,114,1.6,1.2,0.096,-1.1,0.7,-0.3,0.6,5.5,10.3,4.2,7.4,1.3,2.9,0.9,1.6,2.1,4.7,6.8,3.8,1.4,0.4,1.9,3.6,13.2,0.533,0.568,0.444,0.596,0.571,0.599
169,Christian Wood,2020-21,25,HOU,NBA,2.8,41,41,1326,20,0.322,0.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,111,112,1.4,1.4,0.1,1.9,-0.5,1.4,1.2,8.8,17.1,6.7,11.6,2.1,5.5,3.3,5.3,2,8.5,10.6,1.9,0.9,1.3,2.1,2.4,23,0.514,0.581,0.374,0.574,0.631,0.591
170,Grayson Allen,2020-21,25,MEM,NBA,2.7,50,38,1259,12.8,0.662,0.22,1.6,12,6.7,11.5,1.7,0.6,9.6,16.8,116,113,1.5,1.2,0.101,-0.4,-0.1,-0.5,0.5,4.9,11.8,1.9,4,3,7.8,2.3,2.6,0.5,4,4.6,3.1,1.3,0.2,1.4,2,15.2,0.418,0.471,0.391,0.547,0.868,0.586
171,Tony Bradley,2020-21,23,TOT,NBA,2.7,42,8,684,20.7,0.015,0.279,13.3,24,18.6,8.5,1,3.9,13,15.8,131,109,1.8,1,0.192,1.1,0.1,1.2,0.6,6.9,10.3,6.9,10.2,0,0.2,2,2.9,4.5,8.1,12.5,1.9,0.8,1.6,1.7,3.2,15.7,0.665,0.675,0,0.665,0.691,0.678
172,Bryn Forbes,2020-21,27,MIL,NBA,2.7,70,10,1354,12.8,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,119,117,2,0.7,0.096,0.4,-1.8,-1.4,0.2,6.5,13.8,2.5,4.9,4,8.9,1.2,1.6,0.3,2.6,2.9,1.2,0.6,0,1.1,2,18.2,0.473,0.511,0.452,0.618,0.77,0.631
173,Josh Hart,2020-21,25,NOP,NBA,2.7,47,4,1349,12.2,0.561,0.259,4.3,26.1,15.2,10.6,1.4,0.8,11.3,13.5,117,113,1.4,1.3,0.097,-1.1,0,-1.1,0.3,4,9.2,2.3,4,1.7,5.1,1.8,2.4,1.4,8.6,10.1,2.9,1,0.3,1.3,3,11.6,0.439,0.583,0.326,0.531,0.775,0.566
174,Luke Kennard,2020-21,24,LAC,NBA,2.7,63,17,1232,12.7,0.541,0.075,1.4,13,7.3,11.9,0.9,0.7,10.1,17.1,117,114,1.6,1.1,0.105,0.3,-1,-0.6,0.4,5.9,12.5,2.9,5.7,3,6.8,0.8,0.9,0.5,4.4,4.9,3.1,0.7,0.3,1.4,2.7,15.7,0.476,0.511,0.446,0.597,0.839,0.608
175,Damion Lee,2020-21,28,GSW,NBA,2.7,57,1,1079,11.8,0.708,0.161,2.2,15.4,8.9,9.1,1.7,0.7,9.3,12.8,121,111,1.4,1.3,0.119,-0.8,0.5,-0.3,0.5,4.2,8.9,1.7,2.6,2.5,6.3,1.3,1.4,0.7,5.2,5.9,2.4,1.2,0.3,1,2.9,12.2,0.467,0.638,0.397,0.608,0.909,0.636
176,Alex Len,2020-21,27,TOT,NBA,2.7,64,42,979,16.4,0.09,0.417,8.5,19.7,14.1,7,0.9,5.6,14.3,16.3,119,110,1.5,1.3,0.133,-1.2,0.6,-0.6,0.3,6.1,9.9,5.8,9,0.3,0.9,2.6,4.1,2.8,6.5,9.2,1.7,0.7,2.3,1.9,4.5,15,0.615,0.644,0.32,0.629,0.629,0.643
177,P.J. Washington,2020-21,22,CHO,NBA,2.7,64,61,1954,13.4,0.423,0.211,5.1,18.3,11.6,12.2,1.7,4,14.6,19.4,105,111,0.3,2.4,0.066,-1.4,0.3,-1.1,0.5,5.7,12.9,3.6,7.4,2.1,5.4,2,2.7,1.7,6.1,7.8,3,1.3,1.5,2.4,3.2,15.4,0.44,0.48,0.386,0.522,0.745,0.549
178,Carmelo Anthony,2020-21,36,POR,NBA,2.6,69,3,1690,14.6,0.418,0.198,2,11.8,6.8,9.2,1.3,2,6.7,23.1,112,117,1.7,0.8,0.073,0.1,-1.6,-1.5,0.2,7.1,16.8,4.2,9.8,2.9,7,3,3.3,0.7,3.9,4.6,2.3,1,0.8,1.3,3.1,20,0.421,0.429,0.409,0.506,0.89,0.547
179,Moses Brown,2020-21,21,OKC,NBA,2.6,43,32,920,18.8,0,0.47,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,117,109,1.3,1.3,0.138,-1.2,-1.4,-2.6,-0.1,5.7,10.4,5.7,10.4,0,0,3,4.9,6,8.9,14.8,0.4,1.2,1.8,1.7,3.6,14.3,0.545,0.545,,0.545,0.619,0.572
180,JaMychal Green,2020-21,30,DEN,NBA,2.6,58,5,1120,13.6,0.529,0.152,8.6,19.4,14,6.4,1.1,1.9,11.7,17.6,116,112,1.4,1.2,0.11,-0.4,-1.6,-2,0,5.7,12.4,3.1,5.8,2.6,6.6,1.5,1.9,2.8,6.4,9.2,1.8,0.9,0.7,1.8,4.8,15.6,0.463,0.534,0.399,0.568,0.807,0.59
181,Cameron Johnson,2020-21,24,PHO,NBA,2.6,60,11,1437,11.8,0.694,0.122,2.6,12.9,7.9,8,1.3,1,7.3,17,112,113,1.2,1.4,0.086,0,-0.6,-0.6,0.5,5.2,12.4,2.2,3.8,3,8.6,1.3,1.5,0.9,4.3,5.1,2.2,1,0.4,1,2.2,14.8,0.42,0.581,0.349,0.541,0.847,0.563
182,Georges Niang,2020-21,27,UTA,NBA,2.6,72,10,1154,11.4,0.721,0.057,2.7,13,8.1,7.3,1.1,0.6,10.9,17.4,114,111,1.2,1.4,0.108,-0.5,0.1,-0.4,0.5,5.6,12.8,1.7,3.6,3.9,9.2,0.7,0.7,0.9,4.7,5.6,1.9,0.8,0.3,1.6,3.7,15.8,0.437,0.469,0.425,0.59,0.957,0.602
183,Payton Pritchard,2020-21,23,BOS,NBA,2.5,66,4,1268,12.4,0.593,0.108,2.9,11.1,6.9,13.3,1.4,0.7,10.8,16.7,117,115,1.6,0.9,0.095,-0.4,-0.7,-1.1,0.3,5.3,12.1,2.4,4.9,2.9,7.2,1.2,1.3,1,3.6,4.6,3.5,1.1,0.3,1.5,3,14.7,0.44,0.482,0.411,0.562,0.889,0.582
184,Patrick Williams,2020-21,19,CHI,NBA,2.5,71,71,1983,10.5,0.261,0.237,3.7,14.4,9.1,6.7,1.6,2,14.4,14.9,105,112,0.3,2.2,0.06,-2.7,0,-2.7,-0.3,4.7,9.7,3.7,7.2,1,2.5,1.7,2.3,1.2,4.8,6,1.8,1.2,0.8,1.8,2.3,12,0.483,0.515,0.391,0.534,0.728,0.562
185,Alex Caruso,2020-21,26,LAL,NBA,2.4,58,6,1216,11.1,0.449,0.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,106,106,0.3,2.1,0.095,-2.5,2.3,-0.2,0.6,4,9.2,2.3,5,1.7,4.1,1.5,2.3,0.9,4.2,5.1,4.8,1.9,0.5,2.3,3.2,11.1,0.436,0.464,0.401,0.526,0.645,0.547
186,Derrick Jones,2020-21,23,POR,NBA,2.4,58,43,1318,11.9,0.447,0.299,6.1,10.7,8.3,4.8,1.4,3.7,8.5,12.3,121,116,1.6,0.8,0.089,-1.6,-0.3,-1.9,0.1,4.1,8.4,2.9,4.7,1.2,3.8,1.6,2.5,2.1,3.6,5.7,1.3,1,1.5,0.9,3.5,11,0.484,0.619,0.316,0.554,0.648,0.576
187,Caris LeVert,2020-21,26,TOT,NBA,2.4,47,39,1486,17.8,0.317,0.221,2.5,13.1,7.8,25.4,2.1,1.7,10.2,28.7,107,113,0.9,1.5,0.077,0.3,-0.4,-0.1,0.7,8.6,19.5,6.6,13.3,2,6.2,3.5,4.3,0.8,4.3,5.1,5.9,1.6,0.7,2.4,2.5,22.7,0.441,0.495,0.326,0.493,0.811,0.531
188,Jusuf Nurkić,2020-21,26,POR,NBA,2.4,37,37,880,20.5,0.09,0.339,10.2,30.7,20.2,21.4,2.1,4,16,22.3,113,109,1.2,1.2,0.133,0.3,1.7,2,0.9,7.1,13.8,6.6,12.6,0.5,1.2,2.9,4.7,3.6,10.2,13.8,5.2,1.6,1.6,3,4.3,17.6,0.514,0.525,0.4,0.532,0.619,0.554
189,Josh Richardson,2020-21,27,DAL,NBA,2.4,59,56,1790,11.9,0.432,0.175,3.2,8.8,6,12.1,1.7,1.2,10.6,18.4,109,114,1,1.4,0.066,-1.5,-0.6,-2.1,0,5.5,12.8,3.6,7.3,1.8,5.5,2,2.2,1.1,3,4,3.2,1.3,0.5,1.6,2.7,14.8,0.427,0.501,0.33,0.498,0.917,0.537
190,Coby White,2020-21,20,CHI,NBA,2.4,69,54,2156,12,0.503,0.157,1.5,13,7.3,21.8,0.9,0.6,13.9,22.5,106,115,0.7,1.7,0.052,-1.1,-1.4,-2.6,-0.3,6.3,15.2,3.6,7.6,2.7,7.7,2.2,2.4,0.5,4.3,4.8,5.5,0.6,0.3,2.6,3,17.6,0.416,0.473,0.359,0.506,0.901,0.54
191,Bismack Biyombo,2020-21,28,CHO,NBA,2.3,66,36,1349,11.7,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,113,113,0.9,1.4,0.081,-3.2,-0.1,-3.3,-0.5,3.9,6.6,3.9,6.5,0,0,1.3,2.9,3.7,5.7,9.4,2.2,0.5,2,1.9,3.8,9,0.587,0.589,0,0.587,0.448,0.574
192,Eric Bledsoe,2020-21,31,NOP,NBA,2.3,71,70,2111,11.5,0.486,0.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,108,116,1.1,1.3,0.053,-1.1,-1.3,-2.3,-0.2,5.2,12.4,3.2,6.4,2.1,6,2.3,3.3,0.5,3.7,4.2,4.6,0.9,0.4,1.9,1.9,14.8,0.421,0.496,0.341,0.503,0.687,0.533
