,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
27,Domantas Sabonis,2020-21,24,IND,NBA,6.9,62,62,2231,20.6,0.179,0.363,7.3,28.6,18,27.5,1.6,1.2,16.9,24.1,115,110,4,3,0.149,2.4,1.5,3.9,3.3,7.7,14.4,6.9,11.8,0.8,2.6,3.8,5.2,2.4,9.4,11.8,6.6,1.2,0.5,3.4,3.2,20,0.535,0.582,0.321,0.564,0.732,0.601
28,Ivica Zubac,2020-21,23,LAC,NBA,6.9,72,33,1609,19.1,0.01,0.434,13.6,22.4,18.1,7.9,0.7,3.4,14.7,15.1,135,110,4.8,2.1,0.206,0.7,0,0.7,1.1,5.9,9.1,5.9,9,0,0.1,3.1,3.9,4.4,7.6,12,2.1,0.6,1.4,1.9,4.3,15,0.652,0.656,0.25,0.654,0.789,0.693
29,John Collins,2020-21,23,ATL,NBA,6.7,63,63,1848,20.6,0.27,0.265,7.1,20.3,13.8,6.9,0.9,3,8.9,22.2,125,112,4.8,1.9,0.174,2.5,-0.4,2.1,1.9,8.6,15.4,6.9,11.2,1.7,4.2,3.4,4.1,2.4,7,9.3,1.6,0.7,1.3,1.7,3.9,22.2,0.556,0.615,0.399,0.61,0.833,0.645
30,Jrue Holiday,2020-21,30,MIL,NBA,6.6,59,56,1907,20,0.344,0.165,4.2,10.4,7.4,26.3,2.4,1.7,12.6,22.2,121,111,4.3,2.2,0.165,2.8,0.7,3.5,2.6,7.6,15.2,5.6,10,2.1,5.2,2,2.5,1.3,3.6,4.9,6.6,1.8,0.7,2.3,1.8,19.3,0.503,0.561,0.392,0.57,0.787,0.592
31,Jayson Tatum,2020-21,22,BOS,NBA,6.5,64,64,2290,21.3,0.368,0.258,2.4,20.7,11.5,20.3,1.6,1.3,10.4,30.8,114,112,4.1,2.5,0.137,4.1,-0.4,3.7,3.3,9.7,21.1,6.7,13.3,3,7.8,4.7,5.4,0.8,6.8,7.6,4.4,1.2,0.5,2.7,2,27.1,0.459,0.502,0.386,0.53,0.868,0.576
32,Jarrett Allen,2020-21,22,TOT,NBA,6.4,63,45,1864,20.1,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,127,112,4.3,2.1,0.166,1.4,-0.4,0.9,1.4,5.9,9.5,5.8,9.2,0.1,0.4,4,5.7,3.9,8.6,12.5,2.1,0.6,1.8,2,1.9,15.9,0.618,0.631,0.316,0.624,0.703,0.661
33,Khris Middleton,2020-21,29,MIL,NBA,6.4,68,68,2269,18.2,0.34,0.22,2.6,15.7,9.4,23.2,1.5,0.4,13.1,25,116,113,4.1,2.2,0.135,2,-0.7,1.3,1.9,7.9,16.7,5.6,11,2.3,5.7,3.3,3.7,0.8,5.5,6.3,5.7,1.1,0.1,2.8,2.5,21.5,0.476,0.508,0.414,0.546,0.898,0.588
34,Nikola Vučević,2020-21,30,TOT,NBA,6.3,70,70,2348,22.9,0.315,0.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,112,110,3.3,3,0.129,4.9,0.2,5.1,4.2,10.3,21.7,7.6,14.8,2.7,6.8,2,2.4,2.3,10.4,12.7,4.2,1,0.7,2,2.1,25.4,0.477,0.513,0.4,0.54,0.84,0.56
35,Donovan Mitchell,2020-21,24,UTA,NBA,6.2,53,53,1771,21.3,0.423,0.29,3.1,10.6,7,26.7,1.4,0.7,10.7,33.5,115,110,3.9,2.2,0.167,4.1,-0.6,3.5,2.5,9.9,22.5,6.2,13,3.7,9.5,5.5,6.5,1,3.8,4.8,5.7,1.1,0.3,3,2.4,28.9,0.438,0.476,0.386,0.52,0.845,0.569
36,Chris Boucher,2020-21,28,TOR,NBA,6.1,60,14,1453,21.9,0.42,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,127,109,4,2.1,0.201,2.8,0.1,2.9,1.8,7.2,14,4.9,8.1,2.2,5.9,3.8,4.8,2.9,7.2,10.1,1.6,0.9,2.8,1.1,4.1,20.4,0.514,0.609,0.383,0.595,0.788,0.634
