"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Kosta Koufos","SAC",78,1482,33,80,19,14,10,2,7,5,9
"Eric Gordon","NOP",45,1481,121,271,92,29,46,20,26,13,16
"Clint Capela","HOU",77,1471,47,108,33,14,24,5,4,3,11
"CJ Miles","IND",64,1464,63,150,39,24,27,4,8,9,15
"Austin Rivers","LAC",67,1463,99,245,52,47,24,10,18,21,26
"Tayshaun Prince","MIN",77,1461,74,165,57,17,23,17,17,2,15
"Maurice Harkless","POR",78,1457,67,161,40,27,25,6,9,8,19
"Andrew Bogut","GSW",70,1451,162,392,94,68,58,11,25,14,54
"JaMychal Green","MEM",78,1446,67,151,50,17,29,11,10,3,14
"Ben McLemore","SAC",68,1443,79,182,55,24,41,11,3,8,16
"Derrick Williams","NYK",80,1435,75,172,53,22,23,11,19,2,20
"Gerald Henderson","POR",72,1431,75,181,44,31,30,6,8,8,23
"Mario Hezonja","ORL",79,1413,109,237,90,19,46,18,26,8,11
"Willie Cauley-Stein","SAC",66,1411,37,85,26,11,19,3,4,0,11
"Ty Lawson","IND",66,1411,237,557,154,83,106,25,23,33,50
"David West","SAS",78,1404,143,326,103,40,72,15,16,18,22
"Kelly Olynyk","BOS",69,1395,105,243,72,33,46,6,20,12,21
"Boris Diaw","SAS",76,1386,176,410,118,58,63,26,29,14,44
"Trey Lyles","UTA",80,1382,59,154,23,36,14,3,6,12,24
"Mario Chalmers","MEM",61,1373,230,525,165,65,87,28,50,27,38
"Lance Stephenson","MEM",69,1372,133,299,100,33,67,11,22,11,22
"Myles Turner","IND",60,1367,41,98,25,16,13,6,6,3,13
"Trey Burke","UTA",64,1366,148,342,102,46,67,15,20,22,24
"Brandon Bass","LAL",66,1342,74,175,47,27,22,12,13,7,20
"Anthony Tolliver","DET",72,1341,52,124,32,20,16,13,3,6,14
"Meyers Leonard","POR",61,1332,92,226,50,42,25,8,17,11,31
"Timofey Mozgov","CLE",76,1326,33,79,20,13,8,3,9,4,9
"Richard Jefferson","CLE",74,1325,59,139,38,21,18,9,11,7,14
"Donald Sloan","BKN",61,1318,268,598,206,62,105,43,58,18,44
"Iman Shumpert","CLE",54,1316,92,231,45,47,32,8,5,9,38
"Lance Thomas","NYK",59,1313,53,119,40,13,12,13,15,1,12
"PJ Hairston","MEM",66,1313,38,90,24,14,12,3,9,2,12
"Tony Snell","CHI",64,1301,63,138,51,12,20,6,25,7,5
"Devin Harris","DAL",64,1280,118,268,86,32,54,11,21,11,21
"Rodney Stuckey","IND",58,1275,142,335,91,51,56,16,19,19,32
"Luc Mbah a Moute","LAC",74,1274,30,74,16,14,8,1,7,3,11
"Larry Nance Jr.","LAL",63,1266,44,105,27,17,11,5,11,5,12
"Jerian Grant","NYK",76,1265,177,418,113,64,58,29,26,24,40
"E'Twaun Moore","CHI",59,1263,99,225,72,27,38,12,22,7,20
"Toney Douglas","NOP",61,1262,157,363,108,49,63,18,27,16,33
"Jason Terry","HOU",72,1258,103,249,60,43,49,6,5,13,30
"Jon Leuer","PHX",67,1255,72,172,44,28,29,7,8,5,23
"Kyle Anderson","SAS",78,1245,123,277,92,31,58,11,23,10,21
"Joe Ingles","UTA",81,1241,96,219,69,27,54,9,6,9,18
"Aron Baynes","DET",81,1233,51,124,29,22,16,5,8,6,16
"Paul Pierce","LAC",68,1230,71,167,46,25,34,7,5,12,13
"Jeremy Lamb","CHA",66,1227,77,182,49,28,30,8,11,9,19
"Ronnie Price","PHX",62,1211,147,341,100,47,53,16,31,10,37
"Channing Frye","CLE",70,1199,71,164,49,22,27,15,7,4,18
"Norris Cole","NOP",45,1198,167,370,131,36,67,28,36,8,28
"Jason Smith","ORL",76,1181,62,144,42,20,21,4,17,5,15
"Omer Asik","NOP",68,1178,26,60,18,8,9,1,8,1,7
"D.J. Augustin","DEN",62,1178,198,445,149,49,94,22,33,22,27
"Jonas Jerebko","BOS",78,1177,62,142,44,18,24,6,14,2,16
"Noah Vonleh","POR",78,1174,30,77,13,17,7,0,6,6,11
"Blake Griffin","LAC",35,1170,170,411,99,71,45,12,42,22,49
