Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Marvin Bagley,21,SAC,NBA,2020-21,43,42,1112,16.3,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,109,117,0.9,0.5,1.4,0.059,-0.6,-2.8,-3.4,-0.4,247,490,210,382,37,108,77,134,106,212,318,43,21,21,59,100,608
LaMelo Ball,19,CHO,NBA,2020-21,51,31,1469,17.5,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,108,110,1,1.9,2.8,0.093,1.2,0.6,1.9,1.4,293,672,201,411,92,261,125,165,63,239,302,313,81,18,145,136,803
Lonzo Ball,23,NOP,NBA,2020-21,55,55,1747,15.2,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,110,113,1.5,1.7,3.2,0.089,1.4,0.2,1.6,1.6,290,700,118,245,172,455,50,64,33,230,263,316,82,31,123,103,802
Mohamed Bamba,22,ORL,NBA,2020-21,46,5,725,19.3,0.392,0.219,10.5,28,19,8.1,0.9,7.3,9.8,21.8,111,109,0.7,1.1,1.8,0.117,0.1,-0.1,0,0.4,142,301,104,183,38,118,45,66,76,189,265,35,14,58,36,87,367
Desmond Bane,22,MEM,NBA,2020-21,68,17,1519,12.2,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,115,114,1.6,1.3,2.9,0.093,-0.7,-0.3,-1,0.4,234,499,117,228,117,271,40,49,31,179,210,118,41,16,59,125,625
Harrison Barnes,28,SAC,NBA,2020-21,58,58,2102,15.4,0.399,0.366,3.3,17.2,10.2,13,1,0.4,11.1,17.2,123,119,4,0.5,4.5,0.103,1.4,-1.6,-0.2,1,319,642,219,386,100,256,195,235,64,321,385,201,43,11,93,75,933
RJ Barrett,20,NYK,NBA,2020-21,72,72,2511,13.4,0.292,0.26,3,14.8,8.9,13.8,1.1,0.8,10.5,23.4,106,110,0.9,3.1,4.1,0.078,-1,-0.5,-1.5,0.3,467,1060,343,751,124,309,206,276,68,346,414,217,53,20,139,188,1264
Will Barton,30,DEN,NBA,2020-21,56,52,1736,11.8,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19,107,114,0.7,1.5,2.2,0.061,-0.8,-1.2,-2,0,259,608,161,351,98,257,95,121,39,187,226,181,50,23,96,95,711
Keita Bates-Diop,25,SAS,NBA,2020-21,30,0,245,12,0.254,0.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,106,111,0.1,0.3,0.3,0.068,-2.7,0.8,-2,0,30,67,25,50,5,17,14,21,9,40,49,12,11,5,7,11,79
Nicolas Batum,32,LAC,NBA,2020-21,67,38,1835,12.9,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,124,110,2.7,2.3,5,0.132,0.5,1,1.4,1.6,191,412,81,140,110,272,48,58,50,266,316,148,69,37,53,102,540
Aron Baynes,34,TOR,NBA,2020-21,53,31,980,10.5,0.339,0.135,9.4,21.7,15.3,7,0.8,2.3,12.5,16.2,104,113,0.1,0.9,1,0.049,-3.5,-1.3,-4.7,-0.7,134,304,107,201,27,103,29,41,87,186,273,47,17,23,46,119,324
Kent Bazemore,31,GSW,NBA,2020-21,67,18,1333,10.6,0.469,0.199,2.1,16,9.1,11.1,2.4,2.2,16.1,16.3,101,108,-0.2,2.1,1.8,0.065,-2.9,1.3,-1.7,0.1,176,392,101,208,75,184,54,78,26,203,229,108,69,33,82,158,481
Darius Bazley,20,OKC,NBA,2020-21,55,55,1714,9.7,0.414,0.258,3.1,21.2,12,8.9,0.8,1.3,13.7,22.1,93,114,-2.3,1.4,-0.9,-0.026,-3.1,-1.4,-4.4,-1,273,690,190,404,83,286,125,178,51,345,396,99,29,25,122,60,754
Bradley Beal,27,WAS,NBA,2020-21,60,60,2147,22.7,0.27,0.332,3.6,10.4,7,21.3,1.5,0.9,10.6,34.1,114,115,4.2,1.7,5.9,0.132,4.9,-1.7,3.2,2.8,670,1382,540,1009,130,373,408,459,72,211,283,265,69,22,187,140,1878
Malik Beasley,24,MIN,NBA,2020-21,37,36,1214,14.6,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24,109,118,0.9,0.4,1.3,0.053,1.7,-2.3,-0.6,0.4,264,600,136,279,128,321,68,80,28,134,162,88,30,7,60,62,724
Jordan Bell,26,TOT,NBA,2020-21,6,1,82,8,0.091,0.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,83,108,-0.1,0.1,0,-0.008,-5.2,-0.4,-5.6,-0.1,7,22,7,20,0,2,1,2,7,17,24,7,3,5,4,7,15
DeAndre' Bembry,26,TOR,NBA,2020-21,51,12,972,11.2,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,104,111,0.1,1.1,1.2,0.059,-3.2,1.2,-2.1,0,117,228,103,175,14,53,45,66,33,113,146,107,53,18,71,87,293
Dāvis Bertāns,28,WAS,NBA,2020-21,57,7,1464,11.4,0.895,0.241,1.3,10.8,6.1,4.4,1,0.7,5.9,15.9,120,116,2.1,1,3.1,0.101,0.4,-1.4,-1,0.4,193,478,24,50,169,428,100,115,18,150,168,49,33,13,33,136,655
Patrick Beverley,32,LAC,NBA,2020-21,37,34,832,12,0.641,0.205,4,11.8,8,12,1.7,3,12.4,14.6,118,110,1,1,2.1,0.119,-0.7,0.7,0,0.4,93,220,37,79,56,141,36,45,29,90,119,76,29,28,34,108,278
Saddiq Bey,21,DET,NBA,2020-21,70,53,1909,12.6,0.666,0.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,112,114,1.6,1.7,3.3,0.082,0.3,-1.1,-0.8,0.6,279,691,104,231,175,460,124,147,43,275,318,95,52,14,60,110,857
Tyler Bey,22,DAL,NBA,2020-21,18,0,71,5.9,0.182,0.227,12.5,16.9,14.7,5.6,0,1.3,11,16.9,91,116,-0.1,0,0,-0.033,-5.5,-4.1,-9.6,-0.1,7,22,6,18,1,4,3,5,8,11,19,3,0,1,3,6,18
Khem Birch,28,TOT,NBA,2020-21,67,22,1529,15.1,0.137,0.339,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,121,113,2.3,1.4,3.8,0.118,-1,-0.3,-1.3,0.3,189,380,176,328,13,52,91,129,174,213,387,89,48,50,44,113,482
Goga Bitadze,21,IND,NBA,2020-21,45,3,561,16.3,0.407,0.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,116,109,0.7,0.8,1.5,0.129,-1.9,0.8,-1.2,0.1,83,194,63,115,20,79,45,61,60,90,150,37,9,60,17,94,231
Bismack Biyombo,28,CHO,NBA,2020-21,66,36,1349,11.7,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,113,113,0.9,1.4,2.3,0.081,-3.2,-0.1,-3.3,-0.5,142,242,142,241,0,1,47,105,137,210,347,81,17,74,71,141,331
Nemanja Bjelica,32,TOT,NBA,2020-21,37,3,595,12.9,0.434,0.26,5.4,18.5,11.9,16.2,1.2,0.8,13.1,18.4,111,116,0.5,0.3,0.9,0.071,-1.4,-1.1,-2.5,-0.1,89,196,62,111,27,85,37,51,29,98,127,69,15,5,33,68,242
Eric Bledsoe,31,NOP,NBA,2020-21,71,70,2111,11.5,0.486,0.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,108,116,1.1,1.3,2.3,0.053,-1.1,-1.3,-2.3,-0.2,307,730,186,375,121,355,134,195,29,215,244,268,55,24,114,112,869
Keljin Blevins,25,POR,NBA,2020-21,17,0,75,-0.9,0.4,0,4.2,10.3,7.1,6.7,1.3,0,20,14.3,66,119,-0.2,0,-0.2,-0.137,-9,-3,-12,-0.2,5,20,3,12,2,8,0,0,3,7,10,4,2,0,5,8,12
Bogdan Bogdanović,28,ATL,NBA,2020-21,44,27,1305,17.6,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,122,114,2.8,1.1,3.9,0.142,3.4,0.4,3.8,1.9,267,565,121,232,146,333,40,44,20,140,160,147,49,13,54,99,720
Bojan Bogdanović,31,UTA,NBA,2020-21,72,72,2216,14,0.498,0.286,2,11.1,6.7,9.1,1,0.1,10.9,22.8,113,112,2.7,2.5,5.2,0.113,0.1,-0.9,-0.8,0.7,406,925,226,464,180,461,233,265,40,241,281,136,45,4,128,115,1225
Bol Bol,21,DEN,NBA,2020-21,32,2,160,9.4,0.414,0.259,0,16.9,8.5,6,0.9,6.1,16.8,21.2,92,111,-0.2,0.2,0,-0.004,-3.6,-0.7,-4.4,-0.1,25,58,16,34,9,24,10,15,0,24,24,7,3,10,13,14,69
Marques Bolden,22,CLE,NBA,2020-21,6,0,29,13.3,0,2.667,11.3,11.9,11.6,0,3.4,6.1,23.5,12.8,101,108,0,0,0,0.063,-3.4,0.6,-2.8,0,1,3,1,3,0,0,5,8,3,3,6,0,2,2,2,0,7
Jordan Bone,23,ORL,NBA,2020-21,14,0,196,8.9,0.593,0,2,11,6.4,13.6,0.5,0,5.3,12.6,113,119,0.1,0.1,0.2,0.045,-2.6,-1.6,-4.2,-0.1,23,54,13,22,10,32,0,0,4,20,24,18,2,0,3,11,56
Isaac Bonga,21,WAS,NBA,2020-21,40,8,432,4,0.58,0.099,4.4,11.7,8.1,6.5,1.2,1.7,20.7,10.2,90,114,-0.4,0.4,0,-0.001,-5.6,-0.8,-6.4,-0.5,30,81,17,34,13,47,5,8,18,48,66,23,11,9,22,63,78
Devin Booker,24,PHO,NBA,2020-21,67,67,2270,19.2,0.288,0.305,1.7,12.1,7,20.6,1.2,0.6,12.4,32.7,110,114,2.9,2,4.9,0.104,1.4,-1.5,-0.1,1.1,623,1287,497,916,126,371,340,392,34,247,281,289,53,16,207,181,1712
Chris Boucher,28,TOR,NBA,2020-21,60,14,1453,21.9,0.42,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,127,109,4,2.1,6.1,0.201,2.8,0.1,2.9,1.8,288,560,198,325,90,235,152,193,117,287,404,63,35,111,46,166,818
Brian Bowen,22,IND,NBA,2020-21,6,0,15,1,0.25,0.25,0,21.6,10.8,0,0,0,0,12.6,74,116,0,0,0,-0.063,-8.2,-3.3,-11.5,0,1,4,1,3,0,1,1,1,0,3,3,0,0,0,0,1,3
Avery Bradley,30,TOT,NBA,2020-21,27,6,602,6.3,0.591,0.088,1.4,9.1,5.2,10.8,1.7,0.5,13.6,14.9,94,116,-0.5,0.4,-0.1,-0.008,-4.9,-0.8,-5.7,-0.6,64,171,31,70,33,101,12,15,8,49,57,46,21,3,28,55,173
Tony Bradley,23,TOT,NBA,2020-21,42,8,684,20.7,0.015,0.279,13.3,24,18.6,8.5,1,3.9,13,15.8,131,109,1.8,1,2.7,0.192,1.1,0.1,1.2,0.6,131,197,131,194,0,3,38,55,85,154,239,37,15,30,33,61,300
Jarrell Brantley,24,UTA,NBA,2020-21,28,0,138,16.6,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19,120,107,0.3,0.2,0.5,0.172,0.5,1.6,2.1,0.1,25,52,13,24,12,28,2,2,9,18,27,15,7,2,8,17,64
Ignas Brazdeikis,22,TOT,NBA,2020-21,13,0,249,9.5,0.337,0.169,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,101,116,-0.1,0.1,0.1,0.016,-3.9,-1.8,-5.7,-0.2,35,83,24,55,11,28,10,14,11,34,45,17,4,3,12,22,91
Mikal Bridges,24,PHO,NBA,2020-21,72,72,2348,16.4,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,131,112,5.4,2.6,8,0.164,2.2,0.8,3,3,363,669,229,354,134,315,110,131,76,233,309,152,76,63,57,116,970
Miles Bridges,22,CHO,NBA,2020-21,66,19,1932,14.7,0.466,0.182,4.5,18,11.1,11.4,1.1,2.7,13.6,17.3,116,113,2.4,1.9,4.2,0.105,0.2,0,0.2,1,313,622,197,332,116,290,98,113,81,316,397,147,44,52,106,143,840
Amida Brimah,26,IND,NBA,2020-21,5,0,29,16.6,0,0.375,7.5,22.3,15,4.8,0,14,30,19.6,101,106,0,0.1,0,0.073,-5.5,1.5,-4,0,5,8,5,8,0,0,3,3,2,6,8,1,0,5,4,4,13
Oshae Brissett,22,IND,NBA,2020-21,21,16,519,17.2,0.517,0.43,6.1,17.9,12,4.6,1.7,3.1,5.3,15.6,129,111,1.2,0.6,1.8,0.165,0.9,-0.6,0.4,0.3,73,151,40,73,33,78,50,65,29,86,115,18,19,20,10,32,229
Malcolm Brogdon,28,IND,NBA,2020-21,56,56,1930,17.9,0.382,0.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,113,115,2.9,1.3,4.2,0.105,2.9,-1.4,1.5,1.7,444,980,299,606,145,374,153,177,58,236,294,329,49,15,115,110,1186
Armoni Brooks,22,HOU,NBA,2020-21,20,5,520,10.4,0.818,0.063,2,12.4,7,8.7,1.1,0.9,10,17.9,105,117,0.1,0.2,0.3,0.03,-1.3,-2,-3.3,-0.2,78,192,18,35,60,157,7,12,10,58,68,30,12,5,22,34,223
Dillon Brooks,25,MEM,NBA,2020-21,67,67,1997,12.1,0.361,0.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,102,113,-0.5,1.8,1.4,0.033,-2.6,-1.3,-3.9,-1,432,1031,304,659,128,372,159,195,53,143,196,157,78,26,119,237,1151
Bruce Brown,24,BRK,NBA,2020-21,65,37,1451,16.1,0.139,0.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,124,112,2.8,1.5,4.4,0.144,-0.4,0.1,-0.3,0.6,235,423,218,364,17,59,86,117,111,238,349,104,58,28,54,145,573
Charlie Brown,23,OKC,NBA,2020-21,9,1,152,4.1,0.488,0.233,2,9.7,5.8,8.2,1.3,1.2,11.2,14.9,88,116,-0.2,0.1,-0.1,-0.032,-7.8,-1.2,-8.9,-0.3,13,43,8,22,5,21,9,10,3,14,17,9,4,2,6,19,40
Jaylen Brown,24,BOS,NBA,2020-21,58,58,1999,19.9,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,112,113,2.8,2,4.8,0.115,3.5,-1,2.5,2.3,538,1111,375,700,163,411,191,250,71,276,347,195,72,32,158,168,1430
Moses Brown,21,OKC,NBA,2020-21,43,32,920,18.8,0,0.47,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,117,109,1.3,1.3,2.6,0.138,-1.2,-1.4,-2.6,-0.1,146,268,146,268,0,0,78,126,154,229,383,10,31,47,43,93,370
Sterling Brown,25,HOU,NBA,2020-21,51,14,1229,11.1,0.642,0.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,114,116,1,0.8,1.8,0.071,-1.7,0,-1.7,0.1,150,335,59,120,91,215,25,31,38,186,224,72,38,12,41,97,416
Troy Brown,21,TOT,NBA,2020-21,34,0,524,8.5,0.486,0.146,4.2,17.4,10.8,7.2,0.9,1,12.1,14,103,114,0,0.5,0.5,0.043,-3.3,-1,-4.3,-0.3,62,144,40,74,22,70,15,21,20,85,105,29,10,6,21,49,161
Jalen Brunson,24,DAL,NBA,2020-21,68,12,1697,17.1,0.319,0.241,1.8,13.1,7.5,21.3,1,0.1,10.3,20.2,123,116,3.9,1.1,5.1,0.143,1.4,-0.9,0.5,1.1,328,627,247,427,81,200,120,151,27,204,231,239,35,1,80,109,857
Elijah Bryant,25,MIL,NBA,2020-21,1,0,32,10.6,0.385,0.231,6.8,12.7,9.9,12.6,0,2.8,21.8,24,100,115,0,0,0,0.008,-4.1,-3.6,-7.7,0,6,13,5,8,1,5,3,3,2,4,6,3,0,1,4,4,16
Thomas Bryant,23,WAS,NBA,2020-21,10,10,271,18.7,0.231,0.264,7.1,16.8,11.9,8.2,0.7,2.5,9.8,17.2,132,114,0.7,0.2,1,0.171,2.1,-1.7,0.4,0.2,59,91,50,70,9,21,16,24,18,43,61,15,4,8,11,31,143
Reggie Bullock,29,NYK,NBA,2020-21,65,64,1949,11.1,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,118,111,2.3,2.3,4.6,0.114,-0.8,0.6,-0.1,0.9,248,561,85,163,163,398,50,55,16,207,223,99,52,11,45,146,709
Trey Burke,28,DAL,NBA,2020-21,62,1,911,12.6,0.465,0.161,1.2,5.3,3.3,12.9,1.9,0.7,8,20,110,115,0.7,0.7,1.4,0.071,-1.3,-0.7,-2,0,151,353,93,189,58,164,51,57,10,44,54,81,36,7,33,64,411
Alec Burks,29,NYK,NBA,2020-21,49,5,1255,14.8,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,114,109,1.5,1.8,3.3,0.126,0.6,0.3,0.9,0.9,210,500,108,254,102,246,101,118,21,206,227,107,31,14,49,102,623
Jimmy Butler,31,MIA,NBA,2020-21,52,52,1745,26.5,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,127,108,6.6,2.7,9.3,0.255,5.1,2.5,7.5,4.2,366,736,341,634,25,102,359,416,94,265,359,369,108,18,109,71,1116
Bruno Caboclo,25,HOU,NBA,2020-21,6,0,36,9,0.294,0.118,8.5,34,20.7,4.7,0,5,18.3,25.8,83,112,-0.1,0,-0.1,-0.088,-8.5,-2.1,-10.6,-0.1,8,17,8,12,0,5,1,2,3,11,14,1,0,2,4,6,17
Devontae Cacok,24,LAL,NBA,2020-21,20,1,98,17.2,0,0.379,13.8,22.8,18.4,1.5,2.5,3.7,12.9,17.2,111,102,0.1,0.2,0.3,0.142,-1.3,0.6,-0.7,0,17,29,17,29,0,0,5,11,12,20,32,1,5,4,5,8,39
Kentavious Caldwell-Pope,27,LAL,NBA,2020-21,67,67,1902,10.7,0.579,0.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,114,109,1.6,2.6,4.2,0.107,-1.5,0.6,-0.9,0.6,218,506,98,213,120,293,97,112,27,152,179,127,62,26,66,114,653
Facundo Campazzo,29,DEN,NBA,2020-21,65,19,1425,11.6,0.686,0.289,1.8,8.9,5.3,20.2,2.7,1,17.1,13.1,117,112,1.6,1.5,3.1,0.105,-1.7,1,-0.8,0.5,120,315,44,99,76,216,80,91,22,112,134,232,79,14,73,132,396
Vlatko Čančar,23,DEN,NBA,2020-21,41,1,281,9.7,0.458,0.181,4.5,15.7,10.1,6.4,1.9,0.7,15.3,14.2,104,112,0,0.3,0.3,0.053,-2.6,-0.1,-2.7,0,33,72,24,39,9,33,10,13,11,39,50,14,11,2,14,18,85
Devin Cannady,24,ORL,NBA,2020-21,8,0,74,11.2,0.571,0.25,0,7.3,3.5,2.1,3.3,1.2,6,19.3,105,113,0,0.1,0.1,0.057,-4.4,1.3,-3.1,0,11,28,5,12,6,16,6,7,0,5,5,1,5,1,2,9,34
Clint Capela,26,ATL,NBA,2020-21,63,63,1898,24.3,0,0.327,17.5,34.3,26.1,4.1,1.1,6,8.4,19.9,125,106,4.9,3.3,8.2,0.207,2.7,-0.2,2.5,2.1,413,695,413,695,0,0,130,227,297,606,903,49,44,129,73,145,956
Vernon Carey,19,CHO,NBA,2020-21,19,4,115,11.7,0.194,0.306,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,108,113,0,0.1,0.2,0.066,-4.4,-1.8,-6.2,-0.1,18,36,17,29,1,7,9,11,6,21,27,2,1,5,5,13,46
Jevon Carter,25,PHO,NBA,2020-21,60,1,717,12.2,0.677,0.031,2.6,11.8,7.3,13,2,1.1,6.6,15,115,111,0.7,0.8,1.6,0.104,-0.6,1.1,0.5,0.5,94,223,38,72,56,151,4,7,16,76,92,71,29,9,16,56,248
Wendell Carter,21,TOT,NBA,2020-21,54,44,1375,16.7,0.112,0.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,114,111,1.7,1.7,3.4,0.118,-1,-0.5,-1.5,0.1,230,457,215,406,15,51,131,179,132,311,443,104,35,42,78,146,606
Michael Carter-Williams,29,ORL,NBA,2020-21,31,25,800,9.5,0.226,0.296,4.9,13.4,9,24.3,1.5,1.9,18.4,20.2,93,115,-1.1,0.6,-0.5,-0.028,-4.5,-0.1,-4.6,-0.5,105,270,90,209,15,61,49,80,39,100,139,129,25,17,69,81,274
Alex Caruso,26,LAL,NBA,2020-21,58,6,1216,11.1,0.449,0.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,106,106,0.3,2.1,2.4,0.095,-2.5,2.3,-0.2,0.6,133,305,78,168,55,137,49,76,31,139,170,160,64,15,76,108,370
Willie Cauley-Stein,27,DAL,NBA,2020-21,53,16,906,14.3,0.06,0.429,8.1,20.5,14.3,5.3,1.1,4.4,11.8,12,128,110,1.6,1.2,2.8,0.147,-2.2,0.6,-1.6,0.1,115,182,114,171,1,11,49,78,66,170,236,35,21,43,29,129,280
Chris Chiozza,25,BRK,NBA,2020-21,22,1,232,12.9,0.477,0.193,1.5,9.5,5.7,36.9,1.5,2.3,14.4,21,108,115,0.1,0.2,0.3,0.063,-0.7,-0.9,-1.6,0,31,88,18,46,13,42,13,17,3,21,24,65,7,6,16,19,88
Marquese Chriss,23,GSW,NBA,2020-21,2,0,27,11.8,0.357,0.286,12,38.9,25.6,11,0,6.5,11.3,28.1,88,104,-0.1,0.1,0,-0.03,-2.2,-1,-3.2,0,5,14,4,9,1,5,2,4,3,10,13,2,0,2,2,3,13
Gary Clark,26,TOT,NBA,2020-21,39,11,654,6,0.818,0.076,5.1,13.5,9.1,6.4,1,1,11.1,10.1,97,117,-0.3,0.4,0.1,0.008,-4,-0.9,-4.9,-0.5,40,132,9,24,31,108,8,10,33,82,115,31,13,7,17,35,119
Brandon Clarke,24,MEM,NBA,2020-21,59,16,1415,17.3,0.156,0.228,7.2,17.5,12.3,9.5,2,3.2,5.7,17.2,119,109,2.2,2,4.2,0.142,0.3,1,1.3,1.2,256,495,236,418,20,77,78,113,97,231,328,95,60,51,33,84,610
Jordan Clarkson,28,UTA,NBA,2020-21,68,1,1818,17.1,0.557,0.134,2.9,12.7,8,15.3,1.6,0.4,9.2,29.7,109,110,1.7,2.5,4.2,0.111,1.9,-0.8,1.1,1.4,457,1075,249,476,208,599,129,144,47,227,274,168,61,10,115,110,1251
Nicolas Claxton,21,BRK,NBA,2020-21,32,1,594,16.9,0.034,0.441,8.4,21.8,15.4,6.4,1.9,5.9,9.4,14,124,108,1,0.9,1.9,0.153,-0.8,1.1,0.3,0.3,90,145,89,140,1,5,31,64,43,123,166,28,23,40,18,68,212
Amir Coffey,23,LAC,NBA,2020-21,44,1,394,10.1,0.544,0.369,2.9,9.4,6.3,7.4,1.3,0,11.1,15.1,115,114,0.4,0.3,0.7,0.085,-2.1,-0.5,-2.6,-0.1,45,103,22,47,23,56,27,38,10,34,44,22,10,0,15,30,140
John Collins,23,ATL,NBA,2020-21,63,63,1848,20.6,0.27,0.265,7.1,20.3,13.8,6.9,0.9,3,8.9,22.2,125,112,4.8,1.9,6.7,0.174,2.5,-0.4,2.1,1.9,429,771,346,563,83,208,170,204,118,349,467,78,34,63,84,193,1111
Mike Conley,33,UTA,NBA,2020-21,51,51,1498,19.2,0.523,0.222,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,123,109,4,2.1,6.1,0.197,3.5,0.9,4.4,2.4,284,640,146,305,138,335,121,142,36,141,177,305,70,9,99,98,827
Pat Connaughton,28,MIL,NBA,2020-21,69,4,1575,11.3,0.703,0.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,121,112,1.8,1.7,3.5,0.108,-0.4,0.1,-0.4,0.6,168,387,67,115,101,272,31,40,63,269,332,81,49,23,33,99,468
Quinn Cook,27,TOT,NBA,2020-21,23,0,157,12.7,0.382,0.118,1.4,10.9,6.1,18.3,1.3,0.6,8.9,21.8,107,114,0.1,0.1,0.2,0.061,-1.2,-0.4,-1.5,0,29,68,18,42,11,26,7,8,2,15,17,18,4,1,7,10,76
Tyler Cook,23,TOT,NBA,2020-21,32,1,438,12.8,0.019,0.34,7,17.2,12.1,5.9,0.9,0.4,15.1,13.9,118,115,0.5,0.3,0.8,0.09,-2.5,-0.5,-3,-0.1,69,103,68,101,1,2,17,35,28,67,95,17,8,2,21,35,156
DeMarcus Cousins,30,TOT,NBA,2020-21,41,11,713,16.4,0.443,0.266,8,32.7,20,16.3,2.3,3,15.8,24.5,103,107,0,1.2,1.2,0.079,-1.2,1.9,0.7,0.5,130,305,83,170,47,135,59,81,53,210,263,76,34,24,64,107,366
Robert Covington,30,POR,NBA,2020-21,70,70,2243,11.2,0.699,0.122,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,113,112,1.4,2.4,3.7,0.08,-1.5,1.2,-0.3,1,204,509,69,153,135,356,50,62,61,405,466,117,101,84,64,195,593
Torrey Craig,30,TOT,NBA,2020-21,50,8,803,14.2,0.467,0.097,8.1,19.1,13.7,7.9,1.7,2.9,9.6,14.3,120,109,1.1,1.1,2.2,0.133,-0.3,0.7,0.3,0.5,109,227,70,121,39,106,17,22,57,140,197,49,28,26,25,83,274
Jae Crowder,30,PHO,NBA,2020-21,60,42,1648,11.8,0.772,0.152,2.2,16.9,9.7,10,1.4,1.5,9.5,15.7,113,111,1.4,1.9,3.3,0.097,0.1,0.7,0.8,1.2,199,492,51,112,148,380,57,75,32,250,282,127,48,27,55,125,603
Jarrett Culver,21,MIN,NBA,2020-21,34,7,499,8.8,0.315,0.286,7.1,15.8,11.3,6.8,1.6,1.6,12.9,18.2,96,115,-0.4,0.3,-0.1,-0.006,-4.8,-1.8,-6.6,-0.6,69,168,56,115,13,53,29,48,34,70,104,24,17,9,28,58,180
Seth Curry,30,PHI,NBA,2020-21,57,57,1638,12.9,0.507,0.139,0.7,8.3,4.6,13.6,1.3,0.4,10,17.1,118,112,2.3,1.7,4,0.118,-0.1,-0.8,-0.9,0.5,258,552,132,272,126,280,69,77,10,126,136,155,44,8,65,96,711
Stephen Curry,32,GSW,NBA,2020-21,63,63,2152,26.3,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,119,111,6.5,2.5,9,0.201,8.1,0,8.1,5.5,658,1365,321,564,337,801,362,395,29,316,345,363,77,8,213,119,2015
Nate Darling,22,CHO,NBA,2020-21,7,0,26,8.2,1,0.429,4.1,0,2.1,5.1,0,3.8,10.7,15.4,110,120,0,0,0,0.038,-1.5,-2.7,-4.2,0,2,7,0,0,2,7,3,3,1,0,1,1,0,1,1,1,9
Anthony Davis,27,LAL,NBA,2020-21,36,36,1162,22.1,0.163,0.349,6,21.5,13.8,16.4,1.9,4.5,9.5,29.2,110,104,1.3,2.4,3.7,0.152,2.9,1.6,4.5,1.9,301,613,275,513,26,100,158,214,62,224,286,110,45,59,74,60,786
Ed Davis,31,MIN,NBA,2020-21,23,7,299,13.1,0,0.273,16.1,26,20.8,9,2.1,3.8,12.4,7.9,130,110,0.5,0.4,0.8,0.135,-3.5,0.7,-2.9,-0.1,19,44,19,44,0,0,10,12,46,69,115,21,13,13,7,56,48
Terence Davis,23,TOT,NBA,2020-21,61,4,1074,12.7,0.586,0.121,2,14.1,7.9,11.4,2,1.2,11.6,21.8,104,115,0.1,0.8,0.8,0.038,-1,-1,-2,0,195,456,97,189,98,267,45,55,20,134,154,83,44,14,63,97,533
