Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nicolò Melli,29,NOP,NBA,2019-20,60,8,1042,11.4,0.638,0.226,3.9,14.5,9.2,10.5,1.5,1.8,11.5,15.7,111,112,0.9,0.9,1.8,0.082,-1.5,0.2,-1.3,0.2,136,323,67,117,69,206,54,73,38,142,180,82,34,23,46,124,395
De'Anthony Melton,21,MEM,NBA,2019-20,60,8,1167,13.5,0.349,0.302,4,15.7,9.9,20.1,3.1,1.5,15.6,19.2,102,107,0.1,1.7,1.7,0.072,-2.2,2,-0.2,0.5,161,401,121,261,40,140,93,121,43,177,220,175,77,20,84,109,455
Chimezie Metu,22,SAS,NBA,2019-20,18,0,105,22.2,0.048,0.31,12.3,21.6,16.9,14.9,1.4,5,17.3,23.7,113,110,0.2,0.1,0.3,0.13,1.9,-0.1,1.8,0.1,24,42,24,40,0,2,10,13,12,21,33,10,3,6,10,7,58
Khris Middleton,28,MIL,NBA,2019-20,62,59,1853,21.1,0.374,0.24,2.5,17,10.2,22.2,1.3,0.3,11.6,26.4,118,104,4.6,3.3,7.9,0.205,3.4,0.7,4.1,2.9,471,947,324,593,147,354,208,227,44,338,382,265,53,7,137,142,1297
Eric Mika,25,SAC,NBA,2019-20,1,0,19,13.9,0,0.667,11.6,30.4,20.7,0,0,0,0,8.9,173,113,0.1,0,0.1,0.218,-2.2,-1,-3.2,0,2,3,2,3,0,0,2,2,2,5,7,0,0,0,0,5,6
C.J. Miles,32,WAS,NBA,2019-20,10,0,161,11.1,0.593,0.339,2.6,5.7,4.1,10,2.9,2.2,5.6,18.6,103,114,0,0.1,0.1,0.035,-1.8,0.1,-1.8,0,19,59,8,24,11,35,15,20,4,8,12,12,10,4,4,14,64
Malcolm Miller,26,TOR,NBA,2019-20,28,1,162,6.7,0.759,0.276,1.3,8.9,5.2,8.9,1.5,1.2,11,9.6,108,108,0.1,0.2,0.3,0.082,-3.5,1.2,-2.3,0,12,29,4,7,8,22,3,8,2,14,16,11,5,2,4,18,35
Patty Mills,31,SAS,NBA,2019-20,66,1,1485,14.8,0.674,0.187,1.6,6.2,3.9,11.4,1.7,0.4,7.7,20.4,115,116,2.3,0.5,2.8,0.091,1.2,-1.2,0,0.8,258,598,104,195,154,403,97,112,22,86,108,118,53,6,54,105,767
Paul Millsap,34,DEN,NBA,2019-20,51,48,1240,16.9,0.283,0.322,8.9,17.6,13.2,9.6,1.8,2.2,12.3,20,116,110,2.1,1.4,3.5,0.136,0.3,-0.2,0.1,0.7,211,438,157,314,54,124,115,141,98,195,293,83,44,30,70,150,591
Shake Milton,23,PHI,NBA,2019-20,40,24,805,14.4,0.487,0.235,2.1,10,6,18.8,1.2,0.7,13.3,18.9,118,112,1.4,0.7,2.1,0.126,0,-1,-1,0.2,134,277,76,142,58,135,51,65,15,73,88,104,20,7,47,92,377
Donovan Mitchell,23,UTA,NBA,2019-20,69,69,2364,18.8,0.352,0.24,2.6,11.3,7.1,21.6,1.4,0.5,11,30.8,110,111,3.2,2.2,5.4,0.11,2.4,-0.6,1.9,2.3,602,1342,429,869,173,473,278,322,53,251,304,294,70,14,184,172,1655
Naz Mitrou-Long,26,IND,NBA,2019-20,5,0,47,7.8,0.706,0,0,16.2,8.2,22.8,1,1.9,15,18.7,87,109,-0.1,0.1,0,-0.022,-3.5,2.1,-1.4,0,6,17,4,5,2,12,0,0,0,7,7,8,1,1,3,2,14
Adam Mokoka,21,CHI,NBA,2019-20,11,0,112,8.2,0.536,0.143,6.6,3.1,4.9,5,1.7,0,6.3,12.1,115,114,0.1,0.1,0.2,0.073,-3.1,-1,-4.1,-0.1,12,28,6,13,6,15,2,4,7,3,10,4,4,0,2,17,32
Malik Monk,21,CHO,NBA,2019-20,55,1,1169,12.6,0.418,0.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,102,115,0.1,0.6,0.7,0.028,-1.1,-1.3,-2.3,-0.1,212,488,154,284,58,204,82,100,27,130,157,114,25,16,77,74,564
